PK_ID_EMENTA,FK_ID_CURSO,MODULO,DESCRICAO,,,,,,,,,,,
1,2,MODULO 1,INTRODUÇÃO À LÓGICA DE PROGRAMAÇÃO PARA DADOS E PREPARAÇÃO PARA PROCESSOS SELETIVOS,,(,1,",",2,",",'MODULO 1',",",'INTRODUÇÃO À LÓGICA DE PROGRAMAÇÃO PARA DADOS E PREPARAÇÃO PARA PROCESSOS SELETIVOS',),","
2,2,MODULO 2,ESTRUTURA DE DADOS E INTELIGÊNCIA EMOCIONAL,,(,2,",",2,",",'MODULO 2',",",'ESTRUTURA DE DADOS E INTELIGÊNCIA EMOCIONAL',),","
3,2,MODULO 3,MODELOS DE ARMAZENAMENTO DE DADOS E RELACIONAMENTO INTERPESSOAL,,(,3,",",2,",",'MODULO 3',",",'MODELOS DE ARMAZENAMENTO DE DADOS E RELACIONAMENTO INTERPESSOAL',),","
4,2,MODULO 4,ANÁLISE E VISUALIZAÇÃO DE DADOS E METODOLOGIAS ÁGEIS,,(,4,",",2,",",'MODULO 4',",",'ANÁLISE E VISUALIZAÇÃO DE DADOS E METODOLOGIAS ÁGEIS',),","
5,2,MODULO 5,"VISUALIZAÇÃO DE DADOS COM POWER BI E TABLEAU, POSTURA PROFISSIONAL E INOVAÇÃO",,(,5,",",2,",",'MODULO 5',",","'VISUALIZAÇÃO DE DADOS COM POWER BI E TABLEAU, POSTURA PROFISSIONAL E INOVAÇÃO'",),","
6,1,MODULO 1,INTRODUÇÃO A DESENVOLVIMENTO FRONT-END E CRIAÇÃO DE HÁBITOS DE SUCESSO,,(,6,",",1,",",'MODULO 1',",",'INTRODUÇÃO A DESENVOLVIMENTO FRONT-END E CRIAÇÃO DE HÁBITOS DE SUCESSO',),","
7,1,MODULO 2,ORIENTAÇÃO A OBJETOS E UTILIZAÇÃO DE APLICAÇÕES HTTP E INTELIGÊNCIA EMOCIONAL,,(,7,",",1,",",'MODULO 2',",",'ORIENTAÇÃO A OBJETOS E UTILIZAÇÃO DE APLICAÇÕES HTTP E INTELIGÊNCIA EMOCIONAL',),","
8,1,MODULO 3,MODELOS DE ARMAZENAMENTO DE DADOS E METODOLOGIAS ÁGEIS,,(,8,",",1,",",'MODULO 3',",",'MODELOS DE ARMAZENAMENTO DE DADOS E METODOLOGIAS ÁGEIS',),","
9,1,MODULO 4,"FRAMEWORKS, BIBLIOTECAS, TECNOLOGIAS SERVER-SIDE BACK-END, POSTURA PROFISSIONAL E INOVAÇÃO",,(,9,",",1,",",'MODULO 4',",","'FRAMEWORKS, BIBLIOTECAS, TECNOLOGIAS SERVER-SIDE BACK-END, POSTURA PROFISSIONAL E INOVAÇÃO'",),","
10,1,MODULO 5,"FRAMEWORKS, BIBLIOTECAS, TECNOLOGIAS CLIENT-SIDE FRONT-END, FOCO EM CARREIRA E PROCESSO SELETIVO",,(,10,",",1,",",'MODULO 5',",","'FRAMEWORKS, BIBLIOTECAS, TECNOLOGIAS CLIENT-SIDE FRONT-END, FOCO EM CARREIRA E PROCESSO SELETIVO'",),","
